Question,Type,Option A,Option B,Option C,Option D,Correct Answer,Marks
What is the capital city of Ghana?,multiple_choice,Accra,Kumasi,Tamale,Cape Coast,Accra,2
True or False: Ghana is located in West Africa.,multiple_choice,True,False,-,-,True,1
Explain the importance of communication in military operations.,essay,-,-,-,-,Communication is crucial for coordination and successful mission execution. It ensures clear understanding of orders, enables real-time situational awareness, and facilitates effective teamwork among units.,5
Which of the following are components of a radio communication system?,multiple_choice,Transmitter only,Receiver only,Both transmitter and receiver,None of the above,Both transmitter and receiver,2
True or False: All military personnel must follow the chain of command.,multiple_choice,True,False,-,-,True,1
What does the acronym SOP stand for in military terminology?,multiple_choice,Standard Operating Procedure,Special Operations Protocol,Strategic Operations Plan,System Operating Program,Standard Operating Procedure,1
Describe the process of encryption in secure communications.,essay,-,-,-,-,Encryption converts readable data into coded format using algorithms and keys to prevent unauthorized access.,3
True or False: Radio signals travel faster than sound waves.,multiple_choice,True,False,-,-,True,2
What is the primary purpose of frequency modulation (FM)?,multiple_choice,To increase signal strength,To reduce interference,To change frequency of carrier wave,To extend transmission range,To change frequency of carrier wave,2
List three key principles of effective military communication.,short_answer,-,-,-,-,Clarity Conciseness and Accuracy,2
True or False: Military communications can be intercepted by enemy forces without proper security measures.,multiple_choice,True,False,-,-,True,1
Which communication method is most secure for sensitive information?,multiple_choice,Radio,Telephone,Encrypted digital,Public announcement,Encrypted digital,3
True or False: Hand signals are an effective form of non-verbal communication in the military.,multiple_choice,True,False,-,-,True,1
What factors affect radio signal propagation?,multiple_choice,Terrain only,Weather only,Both terrain and weather,Time of day only,Both terrain and weather,2
Explain the difference between tactical and strategic communication.,essay,-,-,-,-,Tactical communication focuses on immediate battlefield operations and unit coordination, while strategic communication involves high-level planning and policy decisions affecting overall military objectives.,4
True or False: All military communications are automatically encrypted.,multiple_choice,True,False,-,-,False,2
What is the range of Very High Frequency (VHF) communications?,multiple_choice,30-300 MHz,300-3000 MHz,3-30 MHz,30-300 GHz,30-300 MHz,1
Which is NOT a type of military communication equipment?,multiple_choice,Radio set,Signal flag,Encryption device,Cooking stove,Cooking stove,1
True or False: Standardized communication protocols prevent misunderstandings in military operations.,multiple_choice,True,False,-,-,True,1
What should you do if you receive unclear instructions?,short_answer,-,-,-,-,Seek clarification through proper channels before taking action,2
